Region,Category,Feature,Label,Area_cnt,Area_ratio
St Marys - North St Marys,Cultural diversity,"Ancestry, top responses",Australian,"4,308",24.9
St Marys - North St Marys,Cultural diversity,"Ancestry, top responses",English,"4,084",23.6
St Marys - North St Marys,Cultural diversity,"Ancestry, top responses",Filipino,976,5.6
St Marys - North St Marys,Cultural diversity,"Ancestry, top responses",Australian Aboriginal,967,5.6
St Marys - North St Marys,Cultural diversity,"Ancestry, top responses",Irish,951,5.5
St Marys - North St Marys,Cultural diversity,"Country of birth, top responses",Australia,"10,183",58.8
St Marys - North St Marys,Cultural diversity,"Country of birth, top responses",Other top responses:,null,null
St Marys - North St Marys,Cultural diversity,"Country of birth, top responses",Philippines,721,4.2
St Marys - North St Marys,Cultural diversity,"Country of birth, top responses",New Zealand,612,3.5
St Marys - North St Marys,Cultural diversity,"Country of birth, top responses",India,523,3.0
St Marys - North St Marys,Cultural diversity,"Country of birth, top responses",England,267,1.5
St Marys - North St Marys,Cultural diversity,"Country of birth, top responses",Fiji,237,1.4
St Marys - North St Marys,Cultural diversity,Country of birth of parents,Both parents born overseas,"7,598",43.8
St Marys - North St Marys,Cultural diversity,Country of birth of parents,Father only born overseas,"1,064",6.1
St Marys - North St Marys,Cultural diversity,Country of birth of parents,Mother only born overseas,732,4.2
St Marys - North St Marys,Cultural diversity,Country of birth of parents,Both parents born in Australia,"5,960",34.4
St Marys - North St Marys,Cultural diversity,Country of birth of parents,Not stated,"1,981",11.4
St Marys - North St Marys,Cultural diversity,"Country of birth of father, top stated responses",Australia,"6,724",38.8
St Marys - North St Marys,Cultural diversity,"Country of birth of father, top stated responses",Philippines,940,5.4
St Marys - North St Marys,Cultural diversity,"Country of birth of father, top stated responses",India,760,4.4
St Marys - North St Marys,Cultural diversity,"Country of birth of father, top stated responses",New Zealand,655,3.8
St Marys - North St Marys,Cultural diversity,"Country of birth of father, top stated responses",England,587,3.4
St Marys - North St Marys,Cultural diversity,"Country of birth of mother, top stated responses",Australia,"7,068",40.8
St Marys - North St Marys,Cultural diversity,"Country of birth of mother, top stated responses",Philippines,996,5.7
St Marys - North St Marys,Cultural diversity,"Country of birth of mother, top stated responses",India,738,4.3
St Marys - North St Marys,Cultural diversity,"Country of birth of mother, top stated responses",New Zealand,662,3.8
St Marys - North St Marys,Cultural diversity,"Country of birth of mother, top stated responses",England,537,3.1
St Marys - North St Marys,Cultural diversity,"Religious affiliation, top responses","No Religion, so described","4,357",25.1
St Marys - North St Marys,Cultural diversity,"Religious affiliation, top responses",Catholic,"4,294",24.8
St Marys - North St Marys,Cultural diversity,"Religious affiliation, top responses",Not stated,"2,053",11.8
St Marys - North St Marys,Cultural diversity,"Religious affiliation, top responses",Anglican,"1,724",10.0
St Marys - North St Marys,Cultural diversity,"Religious affiliation, top responses",Islam,851,4.9
St Marys - North St Marys,Cultural diversity,"Language used at home, top responses (other than English)",Arabic,439,2.5
St Marys - North St Marys,Cultural diversity,"Language used at home, top responses (other than English)",Tagalog,399,2.3
St Marys - North St Marys,Cultural diversity,"Language used at home, top responses (other than English)",Samoan,316,1.8
St Marys - North St Marys,Cultural diversity,"Language used at home, top responses (other than English)",Hindi,249,1.4
St Marys - North St Marys,Cultural diversity,"Language used at home, top responses (other than English)",Filipino,197,1.1
St Marys - North St Marys,Cultural diversity,"Language used at home, top responses (other than English)",null,null,null
St Marys - North St Marys,Cultural diversity,"Language used at home, top responses (other than English)",English only used at home,"10,606",61.2
St Marys - North St Marys,Cultural diversity,"Language used at home, top responses (other than English)",null,null,null
St Marys - North St Marys,Cultural diversity,"Language used at home, top responses (other than English)",Households where a non-English language is used,"2,038",33.5
St Marys - North St Marys,Income and work,Participation in the labour force,In the labour force,"7,080",51.9
St Marys - North St Marys,Income and work,Participation in the labour force,Not in the labour force,"4,986",36.5
St Marys - North St Marys,Income and work,Participation in the labour force,Not stated,"1,572",11.5
St Marys - North St Marys,Income and work,Employment status,Worked full-time,"3,764",53.2
St Marys - North St Marys,Income and work,Employment status,Worked part-time,"1,841",26.0
St Marys - North St Marys,Income and work,Employment status,Away from work (a),944,13.3
St Marys - North St Marys,Income and work,Employment status,Unemployed,533,7.5
St Marys - North St Marys,Income and work,"Employment, hours worked",0 hours (away from work),739,11.3
St Marys - North St Marys,Income and work,"Employment, hours worked",1-19 hours,759,11.6
St Marys - North St Marys,Income and work,"Employment, hours worked",20-29 hours,645,9.8
St Marys - North St Marys,Income and work,"Employment, hours worked",30-34 hours,442,6.7
St Marys - North St Marys,Income and work,"Employment, hours worked",35-39 hours,"1,741",26.6
St Marys - North St Marys,Income and work,"Employment, hours worked",40-44 hours,"1,246",19.0
St Marys - North St Marys,Income and work,"Employment, hours worked",45 hours or more,775,11.8
St Marys - North St Marys,Income and work,"Occupation, top responses",Machinery Operators and Drivers,"1,172",17.9
St Marys - North St Marys,Income and work,"Occupation, top responses",Clerical and Administrative Workers,985,15.0
St Marys - North St Marys,Income and work,"Occupation, top responses",Professionals,853,13.0
St Marys - North St Marys,Income and work,"Occupation, top responses",Labourers,813,12.4
St Marys - North St Marys,Income and work,"Occupation, top responses",Community and Personal Service Workers,806,12.3
St Marys - North St Marys,Income and work,"Occupation, top responses",Technicians and Trades Workers,794,12.1
St Marys - North St Marys,Income and work,"Occupation, top responses",Sales Workers,508,7.8
St Marys - North St Marys,Income and work,"Occupation, top responses",Managers,476,7.3
St Marys - North St Marys,Income and work,"Industry of employment, top responses",Other Social Assistance Services,278,4.2
St Marys - North St Marys,Income and work,"Industry of employment, top responses",Supermarket and Grocery Stores,225,3.4
St Marys - North St Marys,Income and work,"Industry of employment, top responses",Hospitals (except Psychiatric Hospitals),218,3.3
St Marys - North St Marys,Income and work,"Industry of employment, top responses",Takeaway Food Services,172,2.6
St Marys - North St Marys,Income and work,"Industry of employment, top responses",Other Warehousing and Storage Services,168,2.6
St Marys - North St Marys,Income and work,Median weekly incomes (a),Personal (b),$716,N/A
St Marys - North St Marys,Income and work,Median weekly incomes (a),Family (c),"$1,683",N/A
St Marys - North St Marys,Income and work,Median weekly incomes (a),Household (d),"$1,395",N/A
St Marys - North St Marys,Income and work,"Method of travel to work on the day of the Census, top responses","Car, as driver","3,303",50.4
St Marys - North St Marys,Income and work,"Method of travel to work on the day of the Census, top responses","Car, as passenger",320,4.9
St Marys - North St Marys,Income and work,"Method of travel to work on the day of the Census, top responses",Train,154,2.4
St Marys - North St Marys,Income and work,"Method of travel to work on the day of the Census, top responses","Train, bus",87,1.3
St Marys - North St Marys,Income and work,"Method of travel to work on the day of the Census, top responses",Walked only,84,1.3
St Marys - North St Marys,Income and work,"Method of travel to work on the day of the Census, top responses",null,null,null
St Marys - North St Marys,Income and work,"Method of travel to work on the day of the Census, top responses",Did not go to work,960,14.7
St Marys - North St Marys,Income and work,"Method of travel to work on the day of the Census, top responses",Worked at home,"1,282",19.6
St Marys - North St Marys,Income and work,"Method of travel to work on the day of the Census, top responses",null,null,null
St Marys - North St Marys,Income and work,"Method of travel to work on the day of the Census, top responses",People who travelled to work by public transport (a),367,5.6
St Marys - North St Marys,Income and work,"Method of travel to work on the day of the Census, top responses",People who travelled to work by car as driver or passenger (b),"3,714",56.7
St Marys - North St Marys,Unpaid work and care,Unpaid work and care,Did unpaid domestic work (week before Census Night),"7,204",52.8
St Marys - North St Marys,Unpaid work and care,Unpaid work and care,Provided unpaid care for child/children (during two weeks before Census Night),"3,139",23.0
St Marys - North St Marys,Unpaid work and care,Unpaid work and care,"Provided unpaid assistance to a person with a disability, health condition or due to old age (during two weeks before Census Night)","1,446",10.6
St Marys - North St Marys,Unpaid work and care,Unpaid work and care,Did voluntary work through an organisation or group (last 12 months),944,6.9
St Marys - North St Marys,Unpaid work and care,"Unpaid domestic work, number of hours",Less than 5 hours,"2,042",15.0
St Marys - North St Marys,Unpaid work and care,"Unpaid domestic work, number of hours",5 to 14 hours,"2,699",19.8
St Marys - North St Marys,Unpaid work and care,"Unpaid domestic work, number of hours",15 to 29 hours,"1,208",8.9
St Marys - North St Marys,Unpaid work and care,"Unpaid domestic work, number of hours",30 hours or more,"1,259",9.2
St Marys - North St Marys,Health,Type of long-term health condition,Arthritis,"1,430",8.3
St Marys - North St Marys,Health,Type of long-term health condition,Asthma,"1,606",9.3
St Marys - North St Marys,Health,Type of long-term health condition,Cancer (including remission),352,2.0
St Marys - North St Marys,Health,Type of long-term health condition,Dementia (including Alzheimer's),69,0.4
St Marys - North St Marys,Health,Type of long-term health condition,Diabetes (excluding gestational diabetes),"1,131",6.5
St Marys - North St Marys,Health,Type of long-term health condition,Heart disease (including heart attack or angina),654,3.8
St Marys - North St Marys,Health,Type of long-term health condition,Kidney disease,183,1.1
St Marys - North St Marys,Health,Type of long-term health condition,Lung condition (including COPD or emphysema),384,2.2
St Marys - North St Marys,Health,Type of long-term health condition,Mental health condition (including depression or anxiety),"1,540",8.9
St Marys - North St Marys,Health,Type of long-term health condition,Stroke,180,1.0
St Marys - North St Marys,Health,Type of long-term health condition,Any other long-term health condition(s),"1,371",7.9
St Marys - North St Marys,Health,Type of long-term health condition,No long-term health condition(s),"9,496",54.8
St Marys - North St Marys,Health,Type of long-term health condition,Not stated,"2,387",13.8
St Marys - North St Marys,Health,Count of selected long-term health conditions,None of the selected conditions,"10,106",58.3
St Marys - North St Marys,Health,Count of selected long-term health conditions,One condition,"3,104",17.9
St Marys - North St Marys,Health,Count of selected long-term health conditions,Two conditions,"1,124",6.5
St Marys - North St Marys,Health,Count of selected long-term health conditions,Three or more conditions,613,3.5
St Marys - North St Marys,Health,Count of selected long-term health conditions,Not stated,"2,387",13.8
St Marys - North St Marys,Australian Defence Force service,Australian Defence Force Service,Currently serving,15,0.1
St Marys - North St Marys,Australian Defence Force service,Australian Defence Force Service,Previously served (and not currently serving),189,1.4
St Marys - North St Marys,Australian Defence Force service,Australian Defence Force Service,Has never served,"11,862",86.9
St Marys - North St Marys,Australian Defence Force service,Australian Defence Force Service,Not stated,"1,584",11.6
St Marys - North St Marys,Families,Family composition,Couple family without children,"1,166",28.1
St Marys - North St Marys,Families,Family composition,Couple family with children,"1,695",40.8
St Marys - North St Marys,Families,Family composition,One parent family,"1,171",28.2
St Marys - North St Marys,Families,Family composition,Other family,121,2.9
St Marys - North St Marys,Families,Single (or lone) parents,Male,N/A,18.4
St Marys - North St Marys,Families,Single (or lone) parents,Female,N/A,81.6
St Marys - North St Marys,Families,Employment status of couple families,"Both employed, worked full-time",513,17.9
St Marys - North St Marys,Families,Employment status of couple families,"Both employed, worked part-time",100,3.5
St Marys - North St Marys,Families,Employment status of couple families,"One employed full-time, one part-time",366,12.8
St Marys - North St Marys,Families,Employment status of couple families,"One employed full-time, other not working",545,19.0
St Marys - North St Marys,Families,Employment status of couple families,"One employed part-time, other not working",206,7.2
St Marys - North St Marys,Families,Employment status of couple families,Both not working,622,21.7
St Marys - North St Marys,Families,Employment status of couple families,Other,392,13.7
St Marys - North St Marys,Families,Employment status of couple families,Labour force status not stated,120,4.2
St Marys - North St Marys,Dwellings,Dwelling count,Occupied private dwellings,"6,087",92.9
St Marys - North St Marys,Dwellings,Dwelling count,Unoccupied private dwellings,467,7.1
St Marys - North St Marys,Dwellings,Dwelling structure,Separate house,"3,717",61.1
St Marys - North St Marys,Dwellings,Dwelling structure,"Semi-detached, row or terrace house, townhouse etc","1,451",23.8
St Marys - North St Marys,Dwellings,Dwelling structure,Flat or apartment,894,14.7
St Marys - North St Marys,Dwellings,Dwelling structure,Other dwelling,15,0.2
St Marys - North St Marys,Dwellings,Number of bedrooms,None (includes studio apartments or bedsitters),35,0.6
St Marys - North St Marys,Dwellings,Number of bedrooms,1 bedroom,228,3.7
St Marys - North St Marys,Dwellings,Number of bedrooms,2 bedrooms,"1,455",23.9
St Marys - North St Marys,Dwellings,Number of bedrooms,3 bedrooms,"3,010",49.4
St Marys - North St Marys,Dwellings,Number of bedrooms,4 or more bedrooms,"1,225",20.1
St Marys - North St Marys,Dwellings,Number of bedrooms,Number of bedrooms not stated,136,2.2
St Marys - North St Marys,Dwellings,Number of bedrooms,null,null,null
St Marys - North St Marys,Dwellings,Number of bedrooms,Average number of bedrooms per dwelling,2.9,N/A
St Marys - North St Marys,Dwellings,Number of bedrooms,Average number of people per household,2.5,N/A
St Marys - North St Marys,Dwellings,Number of registered motor vehicles,None,749,12.3
St Marys - North St Marys,Dwellings,Number of registered motor vehicles,1 motor vehicle,"2,718",44.6
St Marys - North St Marys,Dwellings,Number of registered motor vehicles,2 motor vehicles,"1,767",29.0
St Marys - North St Marys,Dwellings,Number of registered motor vehicles,3 or more vehicles,719,11.8
St Marys - North St Marys,Dwellings,Number of registered motor vehicles,Number of motor vehicles not stated,141,2.3
St Marys - North St Marys,Housing,Household composition,Family households,"3,993",65.6
St Marys - North St Marys,Housing,Household composition,Single (or lone) person households,"1,839",30.2
St Marys - North St Marys,Housing,Household composition,Group households,257,4.2
St Marys - North St Marys,Housing,Tenure type,Owned outright,"1,135",18.6
St Marys - North St Marys,Housing,Tenure type,Owned with a mortgage (a),"1,553",25.5
St Marys - North St Marys,Housing,Tenure type,Rented (b),"3,223",52.9
St Marys - North St Marys,Housing,Tenure type,Other tenure type (c),64,1.1
St Marys - North St Marys,Housing,Tenure type,Tenure type not stated,106,1.7
St Marys - North St Marys,Housing,Household income,Less than $650 total household weekly income (a),N/A,20.1
St Marys - North St Marys,Housing,Household income,"More than $3,000 total household weekly income (a)",N/A,11.9
St Marys - North St Marys,Housing,Rent weekly payments,Median rent (a),360,N/A
St Marys - North St Marys,Housing,Rent weekly payments,null,null,null
St Marys - North St Marys,Housing,Rent weekly payments,Renter households where rent payments are less than or equal to 30% of household income (b),"1,771",54.9
St Marys - North St Marys,Housing,Rent weekly payments,Renter households with rent payments greater than 30% of household income (b),"1,170",36.3
St Marys - North St Marys,Housing,Rent weekly payments,Unable to determine (c),281,8.7
St Marys - North St Marys,Housing,Mortgage monthly repayments,Median mortgage repayments,"1,842",N/A
St Marys - North St Marys,Housing,Mortgage monthly repayments,null,null,null
St Marys - North St Marys,Housing,Mortgage monthly repayments,Owner with mortgage households where mortgage repayments are less than or equal to 30% of household income (a),"1,109",71.4
St Marys - North St Marys,Housing,Mortgage monthly repayments,Owner with mortgage households with mortgage repayments greater than 30% of household income (a),287,18.5
St Marys - North St Marys,Housing,Mortgage monthly repayments,Unable to determine (b),157,10.1
St Marys - North St Marys,Aboriginal and/or Torres Strait Islander peoples,People characteristics,Male,514,49.4
St Marys - North St Marys,Aboriginal and/or Torres Strait Islander peoples,People characteristics,Female,526,50.6
St Marys - North St Marys,Aboriginal and/or Torres Strait Islander peoples,People characteristics,null,null,null
St Marys - North St Marys,Aboriginal and/or Torres Strait Islander peoples,People characteristics,Median age,24,N/A
St Marys - North St Marys,Aboriginal and/or Torres Strait Islander peoples,Dwelling characteristics,Average number of people per household,2.8,N/A
St Marys - North St Marys,Aboriginal and/or Torres Strait Islander peoples,Dwelling characteristics,Average number of people per bedroom,0.9,N/A
St Marys - North St Marys,Aboriginal and/or Torres Strait Islander peoples,Dwelling characteristics,Median weekly household income (a),"1,328",N/A
St Marys - North St Marys,Aboriginal and/or Torres Strait Islander peoples,Mortgage and rent,Median weekly rent (a),360,N/A
St Marys - North St Marys,Aboriginal and/or Torres Strait Islander peoples,Mortgage and rent,Median monthly mortgage repayments,"1,733",N/A
Ashcroft - Busby - Miller,People and population,People,Male,"8,879",49.4
Ashcroft - Busby - Miller,People and population,People,Female,"9,085",50.6
Ashcroft - Busby - Miller,People and population,Indigenous status,Aboriginal and/or Torres Strait Islander,811,4.5
Ashcroft - Busby - Miller,People and population,Indigenous status,Non-Indigenous,"15,581",86.7
Ashcroft - Busby - Miller,People and population,Indigenous status,Indigenous status not stated,"1,579",8.8
Ashcroft - Busby - Miller,People and population,Age,Median age,33,N/A
Ashcroft - Busby - Miller,People and population,Age,0-4 years,"1,315",7.3
Ashcroft - Busby - Miller,People and population,Age,5-9 years,"1,507",8.4
Ashcroft - Busby - Miller,People and population,Age,10-14 years,"1,512",8.4
Ashcroft - Busby - Miller,People and population,Age,15-19 years,"1,430",8.0
Ashcroft - Busby - Miller,People and population,Age,20-24 years,"1,290",7.2
Ashcroft - Busby - Miller,People and population,Age,25-29 years,"1,160",6.5
Ashcroft - Busby - Miller,People and population,Age,30-34 years,"1,112",6.2
Ashcroft - Busby - Miller,People and population,Age,35-39 years,"1,166",6.5
Ashcroft - Busby - Miller,People and population,Age,40-44 years,"1,050",5.8
Ashcroft - Busby - Miller,People and population,Age,45-49 years,"1,001",5.6
Ashcroft - Busby - Miller,People and population,Age,50-54 years,"1,027",5.7
Ashcroft - Busby - Miller,People and population,Age,55-59 years,"1,174",6.5
Ashcroft - Busby - Miller,People and population,Age,60-64 years,"1,034",5.8
Ashcroft - Busby - Miller,People and population,Age,65-69 years,735,4.1
Ashcroft - Busby - Miller,People and population,Age,70-74 years,521,2.9
Ashcroft - Busby - Miller,People and population,Age,75-79 years,381,2.1
Ashcroft - Busby - Miller,People and population,Age,80-84 years,323,1.8
Ashcroft - Busby - Miller,People and population,Age,85 years and over,236,1.3
Ashcroft - Busby - Miller,People and population,Registered marital status,Married,"5,044",37.0
Ashcroft - Busby - Miller,People and population,Registered marital status,Separated,774,5.7
Ashcroft - Busby - Miller,People and population,Registered marital status,Divorced,"1,445",10.6
Ashcroft - Busby - Miller,People and population,Registered marital status,Widowed,824,6.0
Ashcroft - Busby - Miller,People and population,Registered marital status,Never married,"5,537",40.6
Ashcroft - Busby - Miller,People and population,Social marital status,Registered marriage (a),"4,427",36.1
Ashcroft - Busby - Miller,People and population,Social marital status,De facto marriage (b),725,5.9
Ashcroft - Busby - Miller,People and population,Social marital status,Not married,"7,106",58.0
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Preschool,288,4.4
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Primary,null,null
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Primary - Government,"1,428",21.7
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Primary - Catholic,162,2.5
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Primary - other non-Government,262,4.0
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Primary total (a),"1,849",28.1
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Secondary,null,null
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Secondary - Government,"1,181",18.0
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Secondary - Catholic,149,2.3
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Secondary - other non-Government,168,2.6
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Secondary total (b),"1,493",22.7
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Tertiary,null,null
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Tertiary - Vocational education (including TAFE and private training providers),416,6.3
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Tertiary - University or other higher education,569,8.7
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Tertiary total (c),991,15.1
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Other,120,1.8
Ashcroft - Busby - Miller,Education,Type of educational institution attending,Not stated,"1,822",27.7
Ashcroft - Busby - Miller,Education,Level of highest educational attainment,Bachelor Degree level and above,968,7.1
Ashcroft - Busby - Miller,Education,Level of highest educational attainment,Advanced Diploma and Diploma level,796,5.8
Ashcroft - Busby - Miller,Education,Level of highest educational attainment,Certificate level IV,291,2.1
Ashcroft - Busby - Miller,Education,Level of highest educational attainment,Certificate level III,"1,375",10.1
Ashcroft - Busby - Miller,Education,Level of highest educational attainment,Year 12,"2,887",21.2
Ashcroft - Busby - Miller,Education,Level of highest educational attainment,Year 11,719,5.3
Ashcroft - Busby - Miller,Education,Level of highest educational attainment,Year 10,"1,929",14.2
Ashcroft - Busby - Miller,Education,Level of highest educational attainment,Certificate level II,27,0.2
Ashcroft - Busby - Miller,Education,Level of highest educational attainment,Certificate level I,4,0.0
Ashcroft - Busby - Miller,Education,Level of highest educational attainment,Year 9 or below,"1,920",14.1
Ashcroft - Busby - Miller,Education,Level of highest educational attainment,Inadequately described,306,2.2
Ashcroft - Busby - Miller,Education,Level of highest educational attainment,No educational attainment,594,4.4
Ashcroft - Busby - Miller,Education,Level of highest educational attainment,Not stated,"1,824",13.4
Ashcroft - Busby - Miller,Cultural diversity,"Ancestry, top responses",Australian,"3,501",19.5
Ashcroft - Busby - Miller,Cultural diversity,"Ancestry, top responses",English,"2,791",15.5
Ashcroft - Busby - Miller,Cultural diversity,"Ancestry, top responses",Lebanese,"2,260",12.6
Ashcroft - Busby - Miller,Cultural diversity,"Ancestry, top responses",Vietnamese,"1,959",10.9
Ashcroft - Busby - Miller,Cultural diversity,"Ancestry, top responses",Australian Aboriginal,732,4.1
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth, top responses",Australia,"9,599",53.4
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth, top responses",Other top responses:,null,null
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth, top responses",Vietnam,"1,493",8.3
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth, top responses",Lebanon,956,5.3
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth, top responses",Iraq,655,3.6
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth, top responses",New Zealand,392,2.2
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth, top responses",Fiji,343,1.9
Ashcroft - Busby - Miller,Cultural diversity,Country of birth of parents,Both parents born overseas,"10,347",57.6
Ashcroft - Busby - Miller,Cultural diversity,Country of birth of parents,Father only born overseas,"1,250",7.0
Ashcroft - Busby - Miller,Cultural diversity,Country of birth of parents,Mother only born overseas,606,3.4
Ashcroft - Busby - Miller,Cultural diversity,Country of birth of parents,Both parents born in Australia,"3,824",21.3
Ashcroft - Busby - Miller,Cultural diversity,Country of birth of parents,Not stated,"1,935",10.8
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth of father, top stated responses",Australia,"4,458",24.8
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth of father, top stated responses",Lebanon,"2,595",14.4
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth of father, top stated responses",Vietnam,"2,276",12.7
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth of father, top stated responses",Iraq,"1,047",5.8
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth of father, top stated responses",Samoa,615,3.4
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth of mother, top stated responses",Australia,"5,150",28.7
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth of mother, top stated responses",Vietnam,"2,341",13.0
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth of mother, top stated responses",Lebanon,"2,156",12.0
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth of mother, top stated responses",Iraq,"1,050",5.8
Ashcroft - Busby - Miller,Cultural diversity,"Country of birth of mother, top stated responses",Samoa,579,3.2
Ashcroft - Busby - Miller,Cultural diversity,"Religious affiliation, top responses",Islam,"4,306",24.0
Ashcroft - Busby - Miller,Cultural diversity,"Religious affiliation, top responses",Catholic,"3,017",16.8
Ashcroft - Busby - Miller,Cultural diversity,"Religious affiliation, top responses","No Religion, so described","2,992",16.7
Ashcroft - Busby - Miller,Cultural diversity,"Religious affiliation, top responses",Not stated,"1,932",10.8
Ashcroft - Busby - Miller,Cultural diversity,"Religious affiliation, top responses",Buddhism,"1,642",9.1
Ashcroft - Busby - Miller,Cultural diversity,"Language used at home, top responses (other than English)",Arabic,"3,756",20.9
Ashcroft - Busby - Miller,Cultural diversity,"Language used at home, top responses (other than English)",Vietnamese,"2,171",12.1
Ashcroft - Busby - Miller,Cultural diversity,"Language used at home, top responses (other than English)",Samoan,467,2.6
Ashcroft - Busby - Miller,Cultural diversity,"Language used at home, top responses (other than English)",Khmer,369,2.1
Ashcroft - Busby - Miller,Cultural diversity,"Language used at home, top responses (other than English)",Hindi,347,1.9
Ashcroft - Busby - Miller,Cultural diversity,"Language used at home, top responses (other than English)",null,null,null
Ashcroft - Busby - Miller,Cultural diversity,"Language used at home, top responses (other than English)",English only used at home,"6,740",37.5
Ashcroft - Busby - Miller,Cultural diversity,"Language used at home, top responses (other than English)",null,null,null
Ashcroft - Busby - Miller,Cultural diversity,"Language used at home, top responses (other than English)",Households where a non-English language is used,"3,100",58.1
Ashcroft - Busby - Miller,Income and work,Participation in the labour force,In the labour force,"4,748",34.8
Ashcroft - Busby - Miller,Income and work,Participation in the labour force,Not in the labour force,"7,503",55.1
Ashcroft - Busby - Miller,Income and work,Participation in the labour force,Not stated,"1,377",10.1
Ashcroft - Busby - Miller,Income and work,Employment status,Worked full-time,"1,963",41.3
Ashcroft - Busby - Miller,Income and work,Employment status,Worked part-time,"1,279",26.9
Ashcroft - Busby - Miller,Income and work,Employment status,Away from work (a),907,19.1
Ashcroft - Busby - Miller,Income and work,Employment status,Unemployed,601,12.7
Ashcroft - Busby - Miller,Income and work,"Employment, hours worked",0 hours (away from work),737,17.8
Ashcroft - Busby - Miller,Income and work,"Employment, hours worked",1-19 hours,587,14.1
Ashcroft - Busby - Miller,Income and work,"Employment, hours worked",20-29 hours,438,10.6
Ashcroft - Busby - Miller,Income and work,"Employment, hours worked",30-34 hours,253,6.1
Ashcroft - Busby - Miller,Income and work,"Employment, hours worked",35-39 hours,965,23.3
Ashcroft - Busby - Miller,Income and work,"Employment, hours worked",40-44 hours,631,15.2
Ashcroft - Busby - Miller,Income and work,"Employment, hours worked",45 hours or more,368,8.9
Ashcroft - Busby - Miller,Income and work,"Occupation, top responses",Machinery Operators and Drivers,742,17.9
Ashcroft - Busby - Miller,Income and work,"Occupation, top responses",Labourers,666,16.0
Ashcroft - Busby - Miller,Income and work,"Occupation, top responses",Community and Personal Service Workers,557,13.4
Ashcroft - Busby - Miller,Income and work,"Occupation, top responses",Technicians and Trades Workers,544,13.1
Ashcroft - Busby - Miller,Income and work,"Occupation, top responses",Clerical and Administrative Workers,499,12.0
Ashcroft - Busby - Miller,Income and work,"Occupation, top responses",Professionals,402,9.7
Ashcroft - Busby - Miller,Income and work,"Occupation, top responses",Sales Workers,338,8.1
Ashcroft - Busby - Miller,Income and work,"Occupation, top responses",Managers,251,6.0
Ashcroft - Busby - Miller,Income and work,"Industry of employment, top responses",Supermarket and Grocery Stores,176,4.2
Ashcroft - Busby - Miller,Income and work,"Industry of employment, top responses",Other Social Assistance Services,145,3.5
Ashcroft - Busby - Miller,Income and work,"Industry of employment, top responses",Hospitals (except Psychiatric Hospitals),132,3.2
Ashcroft - Busby - Miller,Income and work,"Industry of employment, top responses",Aged Care Residential Services,117,2.8
Ashcroft - Busby - Miller,Income and work,"Industry of employment, top responses",Road Freight Transport,106,2.6
Ashcroft - Busby - Miller,Income and work,Median weekly incomes (a),Personal (b),$452,N/A
Ashcroft - Busby - Miller,Income and work,Median weekly incomes (a),Family (c),"$1,232",N/A
Ashcroft - Busby - Miller,Income and work,Median weekly incomes (a),Household (d),"$1,027",N/A
Ashcroft - Busby - Miller,Income and work,"Method of travel to work on the day of the Census, top responses","Car, as driver","2,174",52.4
Ashcroft - Busby - Miller,Income and work,"Method of travel to work on the day of the Census, top responses","Car, as passenger",239,5.8
Ashcroft - Busby - Miller,Income and work,"Method of travel to work on the day of the Census, top responses",Bus,80,1.9
Ashcroft - Busby - Miller,Income and work,"Method of travel to work on the day of the Census, top responses","Train, bus",51,1.2
Ashcroft - Busby - Miller,Income and work,"Method of travel to work on the day of the Census, top responses",Truck,46,1.1
Ashcroft - Busby - Miller,Income and work,"Method of travel to work on the day of the Census, top responses",null,null,null
Ashcroft - Busby - Miller,Income and work,"Method of travel to work on the day of the Census, top responses",Did not go to work,707,17.0
